,feature,importance_gain,importance_split,trn_score,run
90,DEF_30_CNT_SOCIAL_CIRCLE,739.8041117191315,77,0.7073345130252057,43
91,OBS_60_CNT_SOCIAL_CIRCLE,1662.815757036209,162,0.7073345130252057,43
92,DEF_60_CNT_SOCIAL_CIRCLE,437.7185286283493,45,0.7073345130252057,43
93,DAYS_LAST_PHONE_CHANGE,7002.017274975777,657,0.7073345130252057,43
94,FLAG_DOCUMENT_2,0.0,0,0.7073345130252057,43
95,FLAG_DOCUMENT_3,433.2315275669098,37,0.7073345130252057,43
96,FLAG_DOCUMENT_4,0.0,0,0.7073345130252057,43
97,FLAG_DOCUMENT_5,78.12346935272217,8,0.7073345130252057,43
98,FLAG_DOCUMENT_6,143.23917770385742,14,0.7073345130252057,43
99,FLAG_DOCUMENT_7,128.50641059875488,12,0.7073345130252057,43
100,FLAG_DOCUMENT_8,195.81586050987244,23,0.7073345130252057,43
101,FLAG_DOCUMENT_9,30.429020881652832,4,0.7073345130252057,43
102,FLAG_DOCUMENT_10,0.0,0,0.7073345130252057,43
103,FLAG_DOCUMENT_11,9.316300392150879,1,0.7073345130252057,43
104,FLAG_DOCUMENT_12,0.0,0,0.7073345130252057,43
105,FLAG_DOCUMENT_13,33.00157022476196,4,0.7073345130252057,43
106,FLAG_DOCUMENT_14,167.49989795684814,15,0.7073345130252057,43
107,FLAG_DOCUMENT_15,16.24910020828247,2,0.7073345130252057,43
108,FLAG_DOCUMENT_16,110.36072063446045,11,0.7073345130252057,43
109,FLAG_DOCUMENT_17,57.16658973693848,6,0.7073345130252057,43
110,FLAG_DOCUMENT_18,126.54438066482544,13,0.7073345130252057,43
111,FLAG_DOCUMENT_19,0.0,0,0.7073345130252057,43
112,FLAG_DOCUMENT_20,51.88459873199463,4,0.7073345130252057,43
113,FLAG_DOCUMENT_21,0.0,0,0.7073345130252057,43
114,AMT_REQ_CREDIT_BUREAU_HOUR,224.4652733206749,24,0.7073345130252057,43
115,AMT_REQ_CREDIT_BUREAU_DAY,137.3827199935913,14,0.7073345130252057,43
116,AMT_REQ_CREDIT_BUREAU_WEEK,386.206417798996,37,0.7073345130252057,43
117,AMT_REQ_CREDIT_BUREAU_MON,1741.1027170419693,168,0.7073345130252057,43
118,AMT_REQ_CREDIT_BUREAU_QRT,927.8114097714424,88,0.7073345130252057,43
119,AMT_REQ_CREDIT_BUREAU_YEAR,2972.8068540096283,301,0.7073345130252057,43
0,NAME_CONTRACT_TYPE,102.96342384815219,27,0.7094297408077153,44
1,CODE_GENDER,563.2210262715816,106,0.7094297408077153,44
2,FLAG_OWN_CAR,360.2547731399536,57,0.7094297408077153,44
3,FLAG_OWN_REALTY,526.5103116333485,75,0.7094297408077153,44
4,CNT_CHILDREN,602.5179880857468,82,0.7094297408077153,44
5,AMT_INCOME_TOTAL,5293.364636480808,596,0.7094297408077153,44
6,AMT_CREDIT,7043.687806725502,756,0.7094297408077153,44
7,AMT_ANNUITY,9204.183841258287,938,0.7094297408077153,44
8,AMT_GOODS_PRICE,4671.07027181983,480,0.7094297408077153,44
